opp_id,account_id,close_date,stage,status,product_line,deal_size_eur,competitor,win_loss_reason_code,win_loss_notes
OPP_000046,ACC_NL_0008,2025-07-22,Proposal,,Middle Office,761375,Competitor C,,
OPP_000047,ACC_IT_0142,2024-02-08,Closed Won,won,Regulatory,601105,Competitor C,OTHER,A combination of service quality and responsiveness led to a successful close.
OPP_000048,ACC_IT_0064,2025-12-31,Prospecting,,Depositary,273620,Competitor B,,
OPP_000049,ACC_IT_0100,2023-10-11,Negotiation,,Fund Admin,57533,Competitor C,,
OPP_000050,ACC_NL_0114,2024-01-08,Closed Lost,lost,AIFM,892837,,PRICE,Client selected a competitor offering a lower fee structure for the same service scope.
OPP_000051,ACC_IT_0115,2025-02-14,Closed Won,won,Fund Admin,618178,Competitor C,COMPETITOR_RELATIONSHIP,Existing long-term relationship with IQ-EQ team outweighed competitor's lower price.
OPP_000052,ACC_IT_0142,2022-07-10,Closed Won,won,Middle Office,67893,,COVERAGE,Our broad coverage across the required jurisdictions exceeded all other proposals.
OPP_000053,ACC_IT_0100,2022-06-23,Closed Lost,lost,AIFM,879342,Competitor B,OTHER,Deal stalled due to internal restructuring at the client; no clear next steps.
OPP_000054,ACC_LU_0098,2022-12-14,Prospecting,,Depositary,439189,Competitor B,,
OPP_000055,ACC_FR_0017,2022-12-09,Closed Won,won,Depositary,752135,Competitor A,COMPETITOR_RELATIONSHIP,Existing long-term relationship with IQ-EQ team outweighed competitor's lower price.
OPP_000056,ACC_NL_0093,2023-05-31,Closed Lost,lost,ESG Reporting,944169,,COMPETITOR_RELATIONSHIP,Incumbent provider retained mandate due to entrenched relationship with CFO.
OPP_000057,ACC_NL_0028,2022-10-05,Negotiation,,Middle Office,531714,,,
OPP_000058,ACC_LU_0085,2024-06-20,Negotiation,,Regulatory,1462626,Competitor B,,
OPP_000059,ACC_NL_0077,2023-10-19,Closed Won,won,Middle Office,1913824,,ONBOARDING_SPEED,Our rapid onboarding capability was a decisive factor in the client's selection.
OPP_000060,ACC_NL_0082,2023-08-20,Closed Lost,lost,ESG Reporting,4018884,Competitor C,COMPETITOR_RELATIONSHIP,Incumbent provider retained mandate due to entrenched relationship with CFO.
OPP_000061,ACC_NL_0097,2023-07-29,Closed Lost,lost,Depositary,215137,Competitor B,COMPETITOR_RELATIONSHIP,Incumbent provider retained mandate due to entrenched relationship with CFO.
OPP_000062,ACC_IT_0140,2023-01-04,Closed Won,won,Fund Admin,1431856,,OTHER,A combination of service quality and responsiveness led to a successful close.
OPP_000063,ACC_IT_0054,2024-06-16,Closed Lost,lost,Middle Office,3528399,Competitor B,PRICE,Client selected a competitor offering a lower fee structure for the same service scope.
OPP_000064,ACC_FR_0078,2023-05-11,Proposal,,AIFM,1087092,,,
OPP_000065,ACC_FR_0019,2024-07-08,Closed Lost,lost,ESG Reporting,2303622,,COMPETITOR_RELATIONSHIP,Incumbent provider retained mandate due to entrenched relationship with CFO.
OPP_000066,ACC_IT_0140,2022-03-17,Closed Lost,lost,Regulatory,1348477,Competitor A,COVERAGE,Our current coverage in the required domicile was insufficient for the mandate.
OPP_000067,ACC_NL_0028,2023-05-24,Closed Won,won,AIFM,988149,Competitor A,COVERAGE,Our broad coverage across the required jurisdictions exceeded all other proposals.
OPP_000068,ACC_NL_0145,2025-08-14,Closed Won,won,Depositary,1450289,,COMPETITOR_RELATIONSHIP,Existing long-term relationship with IQ-EQ team outweighed competitor's lower price.
OPP_000069,ACC_NL_0028,2022-01-22,Prospecting,,AIFM,790480,Competitor B,,
OPP_000070,ACC_IT_0115,2024-02-06,Negotiation,,Regulatory,3148654,Competitor B,,
OPP_000071,ACC_LU_0089,2022-02-20,Closed Won,won,Middle Office,1384793,Competitor A,COVERAGE,Our broad coverage across the required jurisdictions exceeded all other proposals.
OPP_000072,ACC_IT_0030,2026-02-04,Prospecting,,Depositary,2043800,Competitor B,,
OPP_000073,ACC_NL_0134,2024-09-16,Negotiation,,Fund Admin,685340,,,
OPP_000074,ACC_NL_0082,2022-05-18,Proposal,,Regulatory,1017883,Competitor C,,
OPP_000075,ACC_NL_0028,2025-10-18,Closed Lost,lost,ESG Reporting,302957,Competitor B,ONBOARDING_SPEED,Competitor promised a faster go-live timeline which was critical for the fund launch.
OPP_000076,ACC_LU_0085,2025-02-20,Closed Won,won,AIFM,1206745,Competitor B,COMPETITOR_RELATIONSHIP,Existing long-term relationship with IQ-EQ team outweighed competitor's lower price.
OPP_000077,ACC_IT_0048,2025-08-04,Closed Won,won,Fund Admin,3818247,Competitor B,COMPETITOR_RELATIONSHIP,Existing long-term relationship with IQ-EQ team outweighed competitor's lower price.
OPP_000078,ACC_NL_0116,2025-04-27,Closed Won,won,Regulatory,361454,Competitor C,PRICE,Client confirmed our pricing was competitive and within the approved budget envelope.
OPP_000079,ACC_FR_0017,2025-03-28,Prospecting,,ESG Reporting,321091,Competitor C,,
OPP_000080,ACC_FR_0051,2024-07-26,Prospecting,,Regulatory,1300822,Competitor C,,
OPP_000081,ACC_IT_0100,2025-06-05,Negotiation,,Fund Admin,554490,,,
OPP_000082,ACC_IT_0045,2025-10-11,Closed Lost,lost,ESG Reporting,905744,Competitor B,COVERAGE,Our current coverage in the required domicile was insufficient for the mandate.
OPP_000083,ACC_NL_0081,2022-08-30,Proposal,,Fund Admin,315414,Competitor B,,
OPP_000084,ACC_IT_0131,2024-03-06,Closed Won,won,ESG Reporting,606379,Competitor B,ONBOARDING_SPEED,Our rapid onboarding capability was a decisive factor in the client's selection.
OPP_000085,ACC_LU_0125,2025-07-25,Closed Won,won,ESG Reporting,1250894,Competitor C,ONBOARDING_SPEED,Our rapid onboarding capability was a decisive factor in the client's selection.
OPP_000086,ACC_LU_0036,2023-01-19,Negotiation,,Middle Office,948144,Competitor C,,
OPP_000087,ACC_NL_0003,2024-09-19,Prospecting,,Middle Office,4837230,,,
OPP_000088,ACC_LU_0105,2025-11-03,Closed Won,won,Middle Office,1252640,Competitor A,COMPETITOR_RELATIONSHIP,Existing long-term relationship with IQ-EQ team outweighed competitor's lower price.
OPP_000089,ACC_LU_0057,2023-08-22,Prospecting,,AIFM,2919238,Competitor B,,
OPP_000090,ACC_LU_0118,2025-03-04,Closed Lost,lost,ESG Reporting,2798626,Competitor A,COMPETITOR_RELATIONSHIP,Incumbent provider retained mandate due to entrenched relationship with CFO.
OPP_000091,ACC_FR_0069,2025-01-17,Closed Lost,lost,ESG Reporting,1242785,Competitor A,COVERAGE,Our current coverage in the required domicile was insufficient for the mandate.
OPP_000092,ACC_IT_0113,2025-01-23,Proposal,,Middle Office,198503,Competitor B,,
OPP_000093,ACC_NL_0077,2022-03-08,Closed Won,won,Fund Admin,2475814,Competitor A,COVERAGE,Our broad coverage across the required jurisdictions exceeded all other proposals.
OPP_000094,ACC_NL_0061,2023-03-06,Closed Lost,lost,Regulatory,2077838,,OTHER,Deal stalled due to internal restructuring at the client; no clear next steps.
OPP_000095,ACC_FR_0043,2025-06-15,Prospecting,,AIFM,4160884,Competitor A,,
OPP_000096,ACC_FR_0146,2023-12-20,Closed Won,won,ESG Reporting,1257698,Competitor C,OTHER,A combination of service quality and responsiveness led to a successful close.
OPP_000097,ACC_NL_0075,2025-03-18,Proposal,,ESG Reporting,1478958,Competitor A,,
OPP_000098,ACC_LU_0035,2024-04-22,Closed Lost,lost,Regulatory,233987,Competitor B,COVERAGE,Our current coverage in the required domicile was insufficient for the mandate.
OPP_000099,ACC_IT_0064,2022-10-27,Closed Lost,lost,Regulatory,619416,Competitor B,ONBOARDING_SPEED,Competitor promised a faster go-live timeline which was critical for the fund launch.
OPP_000100,ACC_LU_0148,2025-07-19,Proposal,,Middle Office,593999,Competitor A,,
OPP_000101,ACC_LU_0024,2024-04-05,Closed Won,won,Regulatory,1407687,Competitor C,COVERAGE,Our broad coverage across the required jurisdictions exceeded all other proposals.
OPP_000102,ACC_IT_0117,2024-09-26,Negotiation,,Fund Admin,1309916,Competitor A,,
OPP_000103,ACC_LU_0118,2025-07-24,Closed Won,won,Fund Admin,4080550,,COVERAGE,Our broad coverage across the required jurisdictions exceeded all other proposals.
OPP_000104,ACC_NL_0056,2024-05-29,Closed Lost,lost,Depositary,518154,Competitor C,COMPETITOR_RELATIONSHIP,Incumbent provider retained mandate due to entrenched relationship with CFO.
OPP_000105,ACC_LU_0087,2025-01-25,Closed Won,won,Middle Office,1193040,Competitor A,OTHER,A combination of service quality and responsiveness led to a successful close.
OPP_000106,ACC_NL_0012,2022-07-23,Closed Won,won,Fund Admin,230143,Competitor B,COMPETITOR_RELATIONSHIP,Existing long-term relationship with IQ-EQ team outweighed competitor's lower price.
OPP_000107,ACC_IT_0113,2024-07-23,Prospecting,,Middle Office,343361,Competitor B,,
OPP_000108,ACC_FR_0078,2022-11-22,Closed Lost,lost,Fund Admin,999152,Competitor C,COVERAGE,Our current coverage in the required domicile was insufficient for the mandate.
OPP_000109,ACC_NL_0022,2024-02-01,Closed Won,won,Fund Admin,2283537,Competitor C,ONBOARDING_SPEED,Our rapid onboarding capability was a decisive factor in the client's selection.
OPP_000110,ACC_LU_0060,2024-05-29,Closed Won,won,Fund Admin,359460,Competitor A,PRICE,Client confirmed our pricing was competitive and within the approved budget envelope.
OPP_000111,ACC_FR_0034,2025-04-30,Proposal,,Regulatory,2502800,Competitor A,,
OPP_000112,ACC_NL_0088,2022-09-04,Closed Lost,lost,Regulatory,1094788,Competitor A,COMPETITOR_RELATIONSHIP,Incumbent provider retained mandate due to entrenched relationship with CFO.
OPP_000113,ACC_FR_0059,2024-02-24,Prospecting,,Fund Admin,964406,Competitor C,,
OPP_000114,ACC_NL_0077,2022-10-08,Negotiation,,AIFM,3387092,Competitor B,,
OPP_000115,ACC_LU_0018,2024-12-22,Closed Won,won,Regulatory,1238524,Competitor C,OTHER,A combination of service quality and responsiveness led to a successful close.
OPP_000116,ACC_LU_0055,2025-07-10,Closed Lost,lost,ESG Reporting,3589547,Competitor B,COMPETITOR_RELATIONSHIP,Incumbent provider retained mandate due to entrenched relationship with CFO.
OPP_000117,ACC_NL_0023,2022-07-25,Prospecting,,Fund Admin,904882,,,
OPP_000118,ACC_LU_0090,2024-05-29,Negotiation,,AIFM,409290,Competitor A,,
OPP_000119,ACC_IT_0064,2025-02-07,Closed Won,won,Depositary,1179505,Competitor A,OTHER,A combination of service quality and responsiveness led to a successful close.
OPP_000120,ACC_FR_0078,2023-02-25,Closed Won,won,AIFM,1134373,Competitor C,OTHER,A combination of service quality and responsiveness led to a successful close.
OPP_000121,ACC_FR_0014,2023-05-06,Closed Won,won,AIFM,2748121,Competitor A,PRICE,Client confirmed our pricing was competitive and within the approved budget envelope.
OPP_000122,ACC_NL_0136,2022-01-25,Closed Lost,lost,AIFM,610915,,COVERAGE,Our current coverage in the required domicile was insufficient for the mandate.
OPP_000123,ACC_LU_0094,2025-01-23,Closed Won,won,Fund Admin,74199,Competitor A,COMPETITOR_RELATIONSHIP,Existing long-term relationship with IQ-EQ team outweighed competitor's lower price.
OPP_000124,ACC_IT_0004,2023-06-21,Proposal,,Fund Admin,4769059,,,
OPP_000125,ACC_FR_0130,2023-08-10,Closed Won,won,Middle Office,2406088,,OTHER,A combination of service quality and responsiveness led to a successful close.
OPP_000126,ACC_NL_0022,2025-08-04,Closed Won,won,AIFM,1748604,Competitor C,OTHER,A combination of service quality and responsiveness led to a successful close.
OPP_000127,ACC_LU_0021,2024-11-13,Closed Lost,lost,ESG Reporting,1970376,Competitor A,ONBOARDING_SPEED,Competitor promised a faster go-live timeline which was critical for the fund launch.
OPP_000128,ACC_NL_0080,2025-12-01,Closed Won,won,Fund Admin,1600158,,ONBOARDING_SPEED,Our rapid onboarding capability was a decisive factor in the client's selection.
OPP_000129,ACC_IT_0030,2024-07-17,Closed Won,won,Depositary,3497358,Competitor B,PRICE,Client confirmed our pricing was competitive and within the approved budget envelope.
OPP_000130,ACC_FR_0031,2022-01-26,Closed Lost,lost,AIFM,2733858,Competitor C,PRICE,Client selected a competitor offering a lower fee structure for the same service scope.
OPP_000131,ACC_NL_0134,2024-11-25,Closed Lost,lost,AIFM,589210,Competitor C,COVERAGE,Our current coverage in the required domicile was insufficient for the mandate.
OPP_000132,ACC_FR_0031,2022-03-02,Negotiation,,Middle Office,1723912,Competitor A,,
OPP_000133,ACC_NL_0068,2025-12-29,Closed Lost,lost,Middle Office,710036,Competitor C,PRICE,Client selected a competitor offering a lower fee structure for the same service scope.
OPP_000134,ACC_LU_0015,2024-10-20,Closed Lost,lost,Depositary,1207894,Competitor A,ONBOARDING_SPEED,Competitor promised a faster go-live timeline which was critical for the fund launch.
OPP_000135,ACC_NL_0147,2025-10-12,Closed Lost,lost,Regulatory,2789711,Competitor A,ONBOARDING_SPEED,Competitor promised a faster go-live timeline which was critical for the fund launch.
OPP_000136,ACC_IT_0004,2023-05-16,Prospecting,,Depositary,2223407,Competitor B,,
OPP_000137,ACC_LU_0046,2022-03-14,Closed Won,won,AIFM,516612,,COMPETITOR_RELATIONSHIP,Existing long-term relationship with IQ-EQ team outweighed competitor's lower price.
OPP_000138,ACC_NL_0082,2023-07-10,Closed Lost,lost,Depositary,1037304,Competitor A,OTHER,Deal stalled due to internal restructuring at the client; no clear next steps.
OPP_000139,ACC_LU_0046,2023-04-03,Closed Lost,lost,Middle Office,149943,,PRICE,Client selected a competitor offering a lower fee structure for the same service scope.
OPP_000140,ACC_NL_0073,2023-09-29,Negotiation,,ESG Reporting,2555357,Competitor C,,
OPP_000141,ACC_FR_0052,2023-08-21,Closed Won,won,Regulatory,952940,,COVERAGE,Our broad coverage across the required jurisdictions exceeded all other proposals.
OPP_000142,ACC_FR_0095,2025-04-26,Closed Lost,lost,Regulatory,4551994,Competitor B,ONBOARDING_SPEED,Competitor promised a faster go-live timeline which was critical for the fund launch.
OPP_000143,ACC_LU_0039,2022-01-14,Closed Lost,lost,AIFM,835240,Competitor A,PRICE,Client selected a competitor offering a lower fee structure for the same service scope.
OPP_000144,ACC_FR_0086,2022-01-03,Closed Lost,lost,Regulatory,3772467,Competitor A,COMPETITOR_RELATIONSHIP,Incumbent provider retained mandate due to entrenched relationship with CFO.
OPP_000145,ACC_FR_0053,2024-12-21,Closed Lost,lost,Middle Office,4825332,Competitor B,COMPETITOR_RELATIONSHIP,Incumbent provider retained mandate due to entrenched relationship with CFO.
OPP_000146,ACC_LU_0072,2022-07-10,Prospecting,,AIFM,4537793,,,
OPP_000147,ACC_LU_0096,2024-07-27,Closed Lost,lost,ESG Reporting,188586,Competitor B,PRICE,Client selected a competitor offering a lower fee structure for the same service scope.
OPP_000148,ACC_FR_0101,2022-06-03,Closed Won,won,Middle Office,3480997,Competitor B,PRICE,Client confirmed our pricing was competitive and within the approved budget envelope.
OPP_000149,ACC_NL_0061,2023-08-21,Proposal,,Depositary,4667188,,,
OPP_000150,ACC_FR_0084,2023-10-14,Closed Won,won,Fund Admin,4745996,Competitor B,ONBOARDING_SPEED,Our rapid onboarding capability was a decisive factor in the client's selection.
OPP_000151,ACC_LU_0150,2022-08-12,Proposal,,AIFM,2523050,Competitor C,,
OPP_000152,ACC_LU_0105,2022-09-05,Closed Won,won,Middle Office,1887384,Competitor C,ONBOARDING_SPEED,Our rapid onboarding capability was a decisive factor in the client's selection.
OPP_000153,ACC_FR_0031,2022-07-05,Proposal,,Regulatory,1868967,Competitor A,,
OPP_000154,ACC_NL_0056,2023-11-03,Prospecting,,Regulatory,409917,Competitor C,,
OPP_000155,ACC_IT_0102,2024-11-17,Prospecting,,Depositary,1670750,Competitor B,,
OPP_000156,ACC_NL_0008,2024-04-08,Closed Lost,lost,Regulatory,847675,Competitor A,OTHER,Deal stalled due to internal restructuring at the client; no clear next steps.
OPP_000157,ACC_IT_0119,2022-07-28,Closed Lost,lost,Fund Admin,67337,Competitor B,ONBOARDING_SPEED,Competitor promised a faster go-live timeline which was critical for the fund launch.
OPP_000158,ACC_FR_0034,2023-02-10,Closed Lost,lost,Regulatory,3336338,Competitor A,COVERAGE,Our current coverage in the required domicile was insufficient for the mandate.
OPP_000159,ACC_LU_0150,2025-04-15,Proposal,,Fund Admin,598100,Competitor A,,
OPP_000160,ACC_FR_0051,2025-08-15,Closed Won,won,Fund Admin,1362363,Competitor C,ONBOARDING_SPEED,Our rapid onboarding capability was a decisive factor in the client's selection.
OPP_000161,ACC_NL_0032,2022-03-29,Closed Lost,lost,AIFM,4658592,,PRICE,Client selected a competitor offering a lower fee structure for the same service scope.
OPP_000162,ACC_IT_0102,2024-10-13,Prospecting,,Regulatory,2419988,Competitor C,,
OPP_000163,ACC_LU_0055,2023-01-19,Proposal,,Middle Office,4475407,Competitor A,,
OPP_000164,ACC_IT_0063,2025-08-18,Proposal,,Middle Office,1330028,,,
OPP_000165,ACC_NL_0016,2022-06-29,Proposal,,AIFM,2386556,Competitor B,,
OPP_000166,ACC_IT_0140,2022-02-09,Closed Lost,lost,Middle Office,839550,,COVERAGE,Our current coverage in the required domicile was insufficient for the mandate.
OPP_000167,ACC_LU_0089,2025-03-04,Closed Won,won,Depositary,310733,Competitor C,COMPETITOR_RELATIONSHIP,Existing long-term relationship with IQ-EQ team outweighed competitor's lower price.
OPP_000168,ACC_LU_0057,2022-03-02,Closed Lost,lost,Fund Admin,4138942,,COVERAGE,Our current coverage in the required domicile was insufficient for the mandate.
OPP_000169,ACC_NL_0136,2024-01-03,Closed Lost,lost,AIFM,195194,Competitor B,ONBOARDING_SPEED,Competitor promised a faster go-live timeline which was critical for the fund launch.
OPP_000170,ACC_FR_0069,2024-12-28,Closed Lost,lost,AIFM,884753,,PRICE,Client selected a competitor offering a lower fee structure for the same service scope.
OPP_000171,ACC_IT_0091,2022-12-22,Proposal,,ESG Reporting,1931019,Competitor C,,
OPP_000172,ACC_NL_0008,2025-12-11,Closed Lost,lost,ESG Reporting,256048,Competitor B,OTHER,Deal stalled due to internal restructuring at the client; no clear next steps.
OPP_000173,ACC_NL_0127,2025-01-15,Negotiation,,Middle Office,670836,Competitor A,,
OPP_000174,ACC_LU_0060,2025-05-17,Proposal,,ESG Reporting,743084,Competitor C,,
OPP_000175,ACC_FR_0052,2022-09-25,Negotiation,,AIFM,1382232,Competitor C,,
OPP_000176,ACC_NL_0016,2022-02-14,Prospecting,,Regulatory,4627508,Competitor A,,
OPP_000177,ACC_LU_0135,2024-01-18,Closed Lost,lost,Regulatory,1415788,,COVERAGE,Our current coverage in the required domicile was insufficient for the mandate.
OPP_000178,ACC_LU_0026,2023-11-21,Proposal,,AIFM,1464997,,,
OPP_000179,ACC_LU_0125,2025-08-22,Negotiation,,Regulatory,4859343,Competitor C,,
OPP_000180,ACC_NL_0058,2025-09-25,Closed Won,won,Middle Office,494893,Competitor C,ONBOARDING_SPEED,Our rapid onboarding capability was a decisive factor in the client's selection.
OPP_000181,ACC_NL_0033,2022-12-30,Closed Lost,lost,Middle Office,1283597,Competitor A,OTHER,Deal stalled due to internal restructuring at the client; no clear next steps.
OPP_000182,ACC_IT_0047,2025-05-18,Negotiation,,ESG Reporting,370298,Competitor A,,
OPP_000183,ACC_IT_0128,2022-10-16,Negotiation,,Fund Admin,1570981,Competitor C,,
OPP_000184,ACC_FR_0043,2025-07-26,Closed Lost,lost,Regulatory,3515110,Competitor C,PRICE,Client selected a competitor offering a lower fee structure for the same service scope.
OPP_000185,ACC_IT_0115,2022-01-24,Proposal,,AIFM,3619292,Competitor C,,
OPP_000186,ACC_LU_0066,2022-08-10,Closed Lost,lost,Middle Office,2471990,,PRICE,Client selected a competitor offering a lower fee structure for the same service scope.
OPP_000187,ACC_FR_0043,2024-04-27,Closed Won,won,Depositary,2957107,Competitor A,COMPETITOR_RELATIONSHIP,Existing long-term relationship with IQ-EQ team outweighed competitor's lower price.
OPP_000188,ACC_LU_0123,2025-03-29,Closed Won,won,AIFM,704366,Competitor A,ONBOARDING_SPEED,Our rapid onboarding capability was a decisive factor in the client's selection.
OPP_000189,ACC_FR_0076,2022-02-11,Negotiation,,Fund Admin,157590,Competitor B,,
OPP_000190,ACC_NL_0097,2022-11-26,Closed Lost,lost,Fund Admin,540028,,OTHER,Deal stalled due to internal restructuring at the client; no clear next steps.
OPP_000191,ACC_NL_0008,2024-06-02,Closed Lost,lost,ESG Reporting,1340142,Competitor B,ONBOARDING_SPEED,Competitor promised a faster go-live timeline which was critical for the fund launch.
OPP_000192,ACC_FR_0014,2022-07-27,Negotiation,,AIFM,2341759,Competitor C,,
OPP_000193,ACC_NL_0073,2023-09-02,Proposal,,Fund Admin,2268059,,,
OPP_000194,ACC_IT_0040,2022-04-22,Negotiation,,Middle Office,177061,,,
OPP_000195,ACC_FR_0052,2022-07-18,Prospecting,,AIFM,975376,Competitor A,,
OPP_000196,ACC_FR_0122,2022-08-25,Negotiation,,Middle Office,732869,Competitor C,,
OPP_000197,ACC_LU_0024,2025-08-07,Closed Won,won,Depositary,1333964,Competitor C,ONBOARDING_SPEED,Our rapid onboarding capability was a decisive factor in the client's selection.
OPP_000198,ACC_IT_0048,2024-07-01,Prospecting,,Middle Office,2592760,Competitor B,,
OPP_000199,ACC_FR_0069,2025-03-01,Prospecting,,Regulatory,1017829,Competitor A,,
OPP_000200,ACC_LU_0089,2025-01-13,Closed Won,won,AIFM,852722,,OTHER,A combination of service quality and responsiveness led to a successful close.
